Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,70.773,82.789,81.272,85.459,90.028,100,97.994,112.204,115.038,116.545,121.43,127.682
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",77.28,82.908,88.892,91.758,96.881,100,101.384,113.184,119.771,126.41,134.482,136.437
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,113.489,114.588,115.752,110.715,101.56,100,96.956,83.358,68.308,66.282,66.51,65.841
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",89.451,93.347,96.666,98.699,96.273,100,99.559,109.66,110.598,116.185,121.198,125.293
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",86.302,89.613,93.207,95.599,97.591,100,102.679,104.69,106.638,109.249,112.002,114.516
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,83.152,87.724,84.314,90.013,99.729,100,100.922,110.125,118.239,125.518,129.418,132.882
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",85.063,88.068,89.271,91.893,96.894,100,104.747,107.236,109.747,113.173,116.692,121.274
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),131.444,127.915,131.564,121.142,102.474,100,95.596,75.748,56.793,53.96,53.659,52.77
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",82.461,86.632,89.437,91.446,96.941,100,100.62,109.154,110.076,113.046,115.419,119.161
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,75.922,80.867,86.058,91.448,95.352,100,102.549,104.005,104.503,106.513,110.849,118.443
