Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",960.284,971.481,899.7449999999999,884.908,985.637,965.0300000000001,1098.853,1218.265,1239.174,1056.1750000000002,662.58,565.753
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",824.744,846.215,836.1879999999999,907.4720000000001,1044.9830000000002,981.794,993.627,1129.306,1157.211,1164.931,1257.211,1278.405
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,27469.539999999997,29050.125,31698.749,33754.007,35475.712999999996,37108.825,36931.179000000004,39247.69700000001,39503.168,44560.235,49956.862,45796.677
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,84027.93,90285.739,93239.665,98937.284,111234.796,113756.409,113526.544,113682.139,116934.742,122684.572,129346.503,135248.474
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,2200.073,2348.775,2541.233,2762.403,2893.424,3010.479,3383.983,3474.308,3917.028,3877.006,4030.894,3963.547
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,1324.686,1470.455,1564.184,1699.7340000000002,1826.651,1966.229,2244.544,2234.393,2554.753,2423.8599999999997,2532.7980000000002,2492.5069999999996
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",875.387,878.3199999999999,977.049,1062.6689999999999,1066.773,1044.25,1139.4389999999999,1239.915,1362.2749999999999,1453.146,1498.096,1471.04
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,81827.857,87936.964,90698.432,96174.881,108341.372,110745.93,110142.561,110207.831,113017.714,118807.566,125315.609,131284.927
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",783.431,749.2320000000001,812.2249999999999,865.09,851.32,1040.913,1079.321,1213.1190000000001,1171.753,1303.3890000000001,1386.006,1480.7359999999999
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",245.65,242.511,229.91,242.124,269.62800000000004,279.56100000000004,291.262,303.51500000000004,330.995,363.02,371.94100000000003,373.7
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,8928.896,8471.058,9830.727,11000.19,11870.664,12116.199,13060.368,14432.766,15904.138,17645.475,18755.717,19350.877
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",1072.587,1098.504,1091.146,1154.4510000000002,1190.5839999999996,1251.2299999999998,1328.4669999999999,1332.2530000000002,1533.5190000000002,1647.5289999999998,1840.8490000000002,1768.6090000000002
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),69735.809,76324.944,77679.56799999998,81796.448,92959.657,94824.16500000001,93028.353,91364.468,92472.984,96160.104,101114.056,106288.70500000002
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",1010.9200000000001,999.8420000000001,1001.0699999999999,1059.635,1141.854,1172.891,1292.6490000000001,1498.4679999999998,1539.335,1621.476,1777.877,1950.2160000000001
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,17.835000000000004,18.494999999999997,19.479000000000003,21.031000000000002,20.829,22.337,22.645999999999997,23.401999999999997,24.288000000000004,25.330000000000002,24.849999999999998,24.79
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,32.729,32.378,34.307,35.912,36.836,38.634,39.495,39.84,40.702,41.243,44.313,47.294
Millones de pesos a precios corrientes|Total cultura|Gestión pública en actividades culturales,15669.841,19016.537,18331.842,20623.601,25667.02,20422.672,21693.551,24375.705,27279.61,27310.853,32114.115,27923.728
Millones de pesos a precios corrientes|Total cultura|Gestión pública en actividades culturales|Administración federal,12300.158000000001,15507.693,14709.704,16663.711,20890.219999999998,15813.113000000001,15626.128,17476.314,20183.362999999998,20412.561999999998,24816.204999999998,20631.411
Millones de pesos a precios corrientes|Total cultura|Gestión pública en actividades culturales|Administración estatal,3369.683,3508.844,3622.138,3959.8900000000003,4776.8,4609.559,6067.423000000001,6899.391,7096.246999999999,6898.290999999999,7297.91,7292.316999999999
Millones de pesos a precios corrientes|Total cultura|Asociaciones y organizaciones civiles,124.403,132.122,132.451,135.843,149.449,144.603,150.981,152.104,148.613,154.959,253.025,260.588
Millones de pesos a precios corrientes|Total cultura|Producción cultural de los hogares,8778.089,8751.674,9331.463,10825.193,11668.018,11855.949,12407.213,13238.898,16337.738,17986.053,20500.556,21167.263
Estructura porcentual|Total cultura,100,100,100,100,100,100,100,100,100,100,100,100
Estructura porcentual|Total cultura|Subtotal de bienes y servicios,90.611,89.783,90.181,89.617,88.767,90.316,90.002,89.567,88.624,88.886,87.95,88.882
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,58.505,56.719,57.242,57.093,55.433,56.342,56.866,58.162,58.229,58.886,58.467,58.413
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,26.214,25.294,25.08,25.638,24.965,24.916,25.161,26.262,26.405,26.599,26.207,27.124
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,17.792,16.758,17.626,17.637,17.903,18.349,18.595,19.385,19.776,20.347,20.549,21.18
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,0.056,0.045,0.035,0.038,0.032,0.03,0.03,0.028,0.024,0.021,0.018,0.021
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,4.079,4.419,3.609,4.293,3.31,3.116,3.179,3.391,3.157,2.771,2.543,3.026
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",0.401,0.284,0.234,0.197,0.207,0.221,0.24,0.382,0.462,0.545,0.508,0.528
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,0.193,0.208,0.211,0.23,0.213,0.221,0.227,0.238,0.236,0.239,0.237,0.233
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",3.667,3.556,3.339,3.217,3.273,2.955,2.867,2.814,2.725,2.652,2.329,2.114
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",0.026,0.024,0.026,0.026,0.026,0.024,0.023,0.024,0.024,0.024,0.023,0.023
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,32.291,31.425,32.162,31.455,30.468,31.426,31.705,31.9,31.824,32.287,32.261,31.289
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,0.025,0.024,0.024,0.024,0.022,0.023,0.024,0.023,0.023,0.022,0.022,0.022
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",0.219,0.221,0.225,0.219,0.215,0.22,0.223,0.218,0.222,0.224,0.216,0.232
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,2.647,2.562,2.738,2.753,2.849,3.132,3.271,3.463,3.763,3.859,3.796,4.11
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",0.03,0.031,0.031,0.03,0.029,0.03,0.03,0.029,0.029,0.029,0.028,0.03
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",4.44,4.022,3.969,3.95,3.775,3.738,3.711,3.718,3.513,3.33,3.013,2.711
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,0.843,0.845,0.862,0.851,0.83,0.881,0.915,0.897,0.908,0.926,0.946,0.994
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,1.206,1.182,1.204,1.102,1.054,1.1,1.134,1.17,1.277,1.272,1.306,1.409
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,0.786,0.724,0.739,0.707,0.666,0.647,0.67,0.665,0.672,0.663,0.721,0.727
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",2.268,2.263,2.369,2.316,2.168,2.291,2.445,2.544,2.628,2.554,2.488,2.458
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,0.093,0.086,0.09,0.089,0.092,0.094,0.091,0.092,0.095,0.097,0.093,0.093
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",0.405,0.39,0.422,0.409,0.405,0.437,0.414,0.422,0.444,0.459,0.43,0.425
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),2.796,2.513,2.526,2.43,2.258,2.394,2.515,2.318,2.617,2.713,2.9,2.736
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,5.356,5.257,5.153,4.888,4.868,4.774,4.873,4.849,4.742,4.698,4.478,4.608
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",0.367,0.356,0.318,0.291,0.295,0.288,0.321,0.337,0.322,0.258,0.151,0.127
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",0.315,0.31,0.295,0.298,0.313,0.293,0.29,0.312,0.301,0.285,0.287,0.288
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,10.496,10.638,11.198,11.096,10.631,11.083,10.78,10.842,10.268,10.896,11.387,10.317
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,32.106,33.064,32.938,32.524,33.334,33.975,33.137,31.405,30.395,30,29.482,30.469
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,0.841,0.86,0.898,0.908,0.867,0.899,0.988,0.96,1.018,0.948,0.919,0.893
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,0.506,0.538,0.553,0.559,0.547,0.587,0.655,0.617,0.664,0.593,0.577,0.562
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",0.334,0.322,0.345,0.349,0.32,0.312,0.333,0.343,0.354,0.355,0.341,0.331
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,31.266,32.204,32.041,31.616,32.467,33.076,32.149,30.445,29.377,29.052,28.564,29.576
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",0.299,0.274,0.287,0.284,0.255,0.311,0.315,0.335,0.305,0.319,0.316,0.334
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",0.094,0.089,0.081,0.08,0.081,0.083,0.085,0.084,0.086,0.089,0.085,0.084
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,3.412,3.102,3.473,3.616,3.557,3.619,3.812,3.987,4.134,4.315,4.275,4.359
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",0.41,0.402,0.385,0.38,0.357,0.374,0.388,0.368,0.399,0.403,0.42,0.398
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),26.645,27.951,27.441,26.889,27.857,28.32,27.154,25.24,24.036,23.514,23.047,23.945
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",0.386,0.366,0.354,0.348,0.342,0.35,0.377,0.414,0.4,0.396,0.405,0.439
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,0.007,0.007,0.007,0.007,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.006
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,0.013,0.012,0.012,0.012,0.011,0.012,0.012,0.011,0.011,0.01,0.01,0.011
Estructura porcentual|Total cultura|Gestión pública en actividades culturales,5.987,6.964,6.476,6.78,7.692,6.099,6.332,6.734,7.091,6.678,7.32,6.291
Estructura porcentual|Total cultura|Gestión pública en actividades culturales|Administración federal,4.7,5.679,5.196,5.478,6.26,4.723,4.561,4.828,5.246,4.991,5.656,4.648
Estructura porcentual|Total cultura|Gestión pública en actividades culturales|Administración estatal,1.288,1.285,1.28,1.302,1.431,1.377,1.771,1.906,1.845,1.687,1.663,1.643
Estructura porcentual|Total cultura|Asociaciones y organizaciones civiles,0.048,0.048,0.047,0.045,0.045,0.043,0.044,0.042,0.039,0.038,0.058,0.059
Estructura porcentual|Total cultura|Producción cultural de los hogares,3.354,3.205,3.296,3.559,3.497,3.541,3.621,3.657,4.247,4.398,4.673,4.769
