Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",1051,1052,1075,1103,1143,1310,1321,1359,1453,1433,1528,1576
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",1422,1341,1206,1260,1310,1247,1226,1256,1309,1358,1390,1425
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,100972,97929,100272,104278,108559,110572,110294,111758,114519,115637,117440,118907
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",16841,16174,16042,16050,16347,16738,16494,16638,16407,16560,17350,16851
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),65823,67572,65005,66214,67183,67992,70357,72118,72199,70601,69411,68081
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",7125,6967,6728,6798,6706,6693,6793,6958,6955,6949,7529,7802
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,146,145,146,145,144,145,144,141,141,142,142,141
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,647,610,620,633,635,653,646,631,608,618,650,653
Puestos de trabajo|Total cultura|Gestión pública en actividades culturales,100372,100229,100795,103306,109470,105721,105670,105901,105579,104887,105036,101839
Puestos de trabajo|Total cultura|Gestión pública en actividades culturales|Administración federal,53327,52938,53508,54377,60080,56478,54808,54235,53773,53732,54051,51472
Puestos de trabajo|Total cultura|Gestión pública en actividades culturales|Administración estatal,47045,47291,47287,48929,49390,49243,50862,51666,51806,51155,50985,50367
Puestos de trabajo|Total cultura|Asociaciones y organizaciones civiles,1308,1304,1256,1264,1257,1246,1346,1350,1335,1318,1418,1437
Puestos de trabajo|Total cultura|Producción cultural de los hogares,225811,221770,229046,232885,237218,238006,239665,240481,250529,256485,259656,259863
Estructura porcentual|Total cultura,100,100,100,100,100,100,100,100,100,100,100,100
Estructura porcentual|Total cultura|Subtotal de bienes y servicios,74.364,73.806,73.466,73.241,73.073,73.766,73.682,74.224,74.056,74.235,74.178,73.981
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,58.735,57.839,57.719,57.223,57.016,57.744,57.525,58.173,58.107,58.641,58.528,58.074
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,33.396,31.987,32.206,31.671,31.765,32.696,32.69,33.571,33.705,34.534,34.109,33.39
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,28.993,27.907,28.796,28.411,28.769,28.922,28.886,29.805,29.996,30.837,30.372,29.694
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,0.018,0.014,0.01,0.009,0.008,0.013,0.013,0.013,0.013,0.014,0.014,0.014
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,1.75,1.363,0.869,0.994,0.952,1.742,1.765,1.789,1.756,1.832,1.945,1.955
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",0.227,0.277,0.255,0.073,0.08,0.144,0.119,0.119,0.119,0.112,0.112,0.116
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,0.405,0.395,0.383,0.381,0.356,0.36,0.37,0.359,0.38,0.396,0.416,0.41
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",1.944,1.975,1.836,1.748,1.545,1.466,1.489,1.438,1.396,1.298,1.207,1.16
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",0.058,0.056,0.058,0.054,0.055,0.049,0.048,0.046,0.045,0.044,0.042,0.04
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,25.339,25.852,25.513,25.552,25.251,25.048,24.835,24.602,24.403,24.107,24.419,24.684
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,0.074,0.076,0.075,0.077,0.076,0.076,0.078,0.076,0.077,0.076,0.076,0.078
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",2.53,2.637,2.634,2.632,2.603,2.587,2.601,2.566,2.54,2.513,2.518,2.583
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,1.483,1.518,1.49,1.545,1.502,1.655,1.668,1.719,1.829,1.911,1.915,2.09
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",0.063,0.065,0.065,0.065,0.064,0.066,0.067,0.066,0.065,0.064,0.064,0.066
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",2.72,2.713,2.653,2.666,2.617,2.541,2.436,2.293,2.154,2.056,1.985,1.948
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,2.886,2.99,3.005,3.012,3.007,2.933,2.918,2.785,2.774,2.827,2.896,2.97
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,0.469,0.479,0.488,0.46,0.437,0.415,0.407,0.401,0.387,0.396,0.398,0.419
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,0.824,0.826,0.829,0.815,0.791,0.778,0.779,0.759,0.74,0.746,0.799,0.819
