Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",2026.215,2038.937,1900.711,1785.545,1991.641,1897.324,2167.382,2391.837,2437.13,2067.789,1340.494,1142.242
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",1387.683,1397.655,1383.188,1479.269,1685.672,1597.491,1656.087,1898.623,1924.439,1942.174,2082.227,2122.517
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,48422.914,53141.414,59547.061,64454.84,67651.637,69906.687,71106.706,75696.409,76794.321,87075.279,96916.107,89239.276
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,272894.807,294984.005,302078.097,300393.346,318241.12,326736.783,328859.121,326078.092,315729.401,328220.527,349727.326,367475.735
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,5166.81,5514.176,6115.013,6595.504,7332.479,7033.897,7800.311,8869.644,12324.835,9828.069,12094.305,12070.467
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,2280.268,2661.36,2849.212,3040.248,3598.242,3452.229,3892.278,4005.979,4599.146,4243.626,4420.625,4406.888
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",2886.542,2852.816,3265.801,3555.256,3734.237,3581.668,3908.033,4863.665,7725.689,5584.443,7673.68,7663.579
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,267727.997,289469.829,295963.084,293797.842,310908.641,319702.886,321058.81,317208.448,303404.566,318392.458,337633.021,355405.268
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",1423.163,1388.151,1518.794,1641.278,1609.507,1843.607,1916.777,2148.076,2176.307,2424.205,2491.929,2626.018
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",425.177,419.691,397.796,418.933,466.23,483.727,503.988,525.186,572.733,627.82,643.174,646.171
