Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",808,808,826,849,879,1020,1027,1057,1104,1094,1188,1222
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",904,852,766,797,828,783,771,784,816,845,883,906
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,67997,65711,67371,69562,71426,72148,71700,71943,73042,73226,73958,74453
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",14837,14212,14121,14144,14427,14819,14572,14667,14452,14653,15300,14881
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),53888,55061,52116,53083,53268,53343,55279,55978,55235,53869,52790,51975
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",5731,5573,5361,5430,5381,5354,5418,5577,5587,5759,6204,6402
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,94,93,93,95,96,97,97,95,95,97,95,93
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,580,547,556,567,567,582,573,559,538,547,577,578
Puestos de trabajo|Total cultura|Gestión pública en actividades culturales,100372,100229,100795,103306,109470,105721,105670,105901,105579,104887,105036,101839
Puestos de trabajo|Total cultura|Gestión pública en actividades culturales|Administración federal,53327,52938,53508,54377,60080,56478,54808,54235,53773,53732,54051,51472
Puestos de trabajo|Total cultura|Gestión pública en actividades culturales|Administración estatal,47045,47291,47287,48929,49390,49243,50862,51666,51806,51155,50985,50367
Puestos de trabajo|Total cultura|Asociaciones y organizaciones civiles,1090,1084,1043,1042,1029,1023,1117,1130,1103,1100,1198,1216
Puestos de trabajo|Total cultura|Producción cultural de los hogares,11798,9132,10671,13611,16576,17767,13883,14468,14746,15036,15407,15785
Estructura porcentual|Total cultura,100,100,100,100,100,100,100,100,100,100,100,100
Estructura porcentual|Total cultura|Subtotal de bienes y servicios,87.41,87.167,87.033,86.523,85.854,86.443,86.856,87.143,87.33,87.685,87.639,87.658
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,70.755,70.023,70.215,69.447,68.966,69.818,70.058,70.684,71.076,71.906,71.778,71.505
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,46.617,45.103,45.548,44.817,44.711,45.757,46.09,47.047,47.582,48.629,48.229,47.527
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,41.171,40.021,41.413,40.936,41.382,41.41,41.449,42.55,43.122,44.173,43.76,43.039
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,0.021,0.017,0.011,0.01,0.009,0.001,0.016,0.016,0.016,0.016,0.017,0.017
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,2.215,1.722,0.975,1.116,1.04,2.154,2.233,2.162,2.156,2.257,2.365,2.458
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",0.322,0.397,0.366,0.106,0.115,0.156,0.149,0.156,0.162,0.157,0.162,0.168
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,0.49,0.483,0.47,0.468,0.43,0.397,0.413,0.385,0.409,0.428,0.441,0.439
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",2.319,2.387,2.235,2.108,1.66,1.573,1.765,1.716,1.657,1.537,1.427,1.351
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",0.079,0.076,0.078,0.074,0.075,0.066,0.065,0.062,0.061,0.061,0.057,0.056
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,24.138,24.92,24.667,24.63,24.256,24.062,23.968,23.638,23.494,23.277,23.55,23.977
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,0.082,0.086,0.085,0.088,0.086,0.086,0.09,0.087,0.088,0.086,0.087,0.09
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",3.435,3.617,3.623,3.626,3.579,3.54,3.57,3.502,3.492,3.442,3.47,3.58
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,1.523,1.559,1.491,1.551,1.457,1.609,1.629,1.723,1.843,1.924,1.897,2.05
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",0.066,0.07,0.07,0.07,0.069,0.068,0.069,0.067,0.067,0.066,0.067,0.069
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",2.526,2.613,2.565,2.578,2.536,2.444,2.393,2.301,2.21,2.08,2.009,2.02
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,2.919,3.084,3.143,3.139,3.129,3.086,3.063,2.956,2.965,2.963,3.063,3.147
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,0.366,0.376,0.382,0.361,0.35,0.328,0.315,0.31,0.299,0.307,0.309,0.333
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,1.101,1.113,1.121,1.101,1.064,1.041,1.045,1.017,0.998,1.008,1.09,1.126
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",1.189,1.232,1.249,1.252,1.222,1.204,1.132,1.099,1.15,1.263,1.282,1.302
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,0.164,0.173,0.166,0.17,0.174,0.174,0.176,0.173,0.163,0.16,0.16,0.164
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",0.412,0.418,0.421,0.417,0.377,0.366,0.35,0.332,0.313,0.307,0.291,0.299
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),3.083,3.175,3.129,3.077,3.055,3.084,3.03,2.949,2.847,2.829,2.958,2.923
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,6.229,6.364,6.186,6.141,6.13,6.035,6.1,6.148,6.1,5.975,6.005,6.072
