Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",221.553,231.229,225.24800000000002,231.811,250.657,266.45799999999997,274.78,280.114,274.737,259.052,252.69299999999998,257.233
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",203.687,219.295,220.66000000000003,227.50900000000001,251.339,213.694,263.54,278.70399999999995,297.598,288.961,302.711,308.44300000000004
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,794.813,765.6200000000001,841.89,941.918,971.3009999999999,1016.745,1082.273,1116.0490000000002,1153.172,1129.4779999999998,1205.134,1078.443
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,30824.427,32667.561,33777.119,35826.087,34871.724,36235.504,38021.485,39334.254,40012.958,41514.92,41806.242,43483.284
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,464.398,467.43,492.137,530.835,535.149,530.668,572.721,620.341,654.707,713.625,750.836,757.919
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,252.294,256.434,279.88,296.907,300.366,311.555,335.534,357.76099999999997,379.624,412.61299999999994,429.77200000000005,431.18300000000005
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",212.10399999999998,210.996,212.257,233.928,234.783,219.11299999999997,237.187,262.58,275.083,301.012,321.06399999999996,326.736
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,30360.029,32200.131,33284.982,35295.252,34336.575,35704.836,37448.764,38713.913,39358.251,40801.295,41055.406,42725.365
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",48.265,50.852000000000004,53.129,55.730000000000004,58.818,70.131,72.725,75.706,79.928,83.277,93.56899999999999,99.605
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",68.998,68.106,64.55,67.976,75.682,88.053,91.741,95.597,104.29,114.057,123.78,133.698
