Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,268.066,261.025,282.622,296.442,355.474,379.981,368.706,395.125,434.823,468.028,479.472,486.185
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",588.481,582.267,671.288,695.642,773.391,853.858,838.237,863.0740000000001,945.719,1041.836,1089.757,1102.694
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),5908.2390000000005,5634.112,5951.880000000001,6198.424999999999,6490.175999999999,6898.378,7655.637000000001,7356.704,8379.046999999999,9230.491,10422.189,9999.122000000001
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,22966.138000000003,22695.136,23168.906000000003,24455.072,26809.171,27350.111,29736.164,32763.211999999996,33644.705,35935.872,36650.481,37512.96400000001
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",1053.631,1053.2119999999998,986.6229999999999,886.4670000000001,991.3910000000001,917.226,1053.1290000000001,1156.891,1181.954,995.7620000000001,663.116,562.444
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",562.937,551.4399999999999,547.002,571.797,640.6899999999999,615.6970000000001,662.4590000000001,769.318,767.227,777.2429999999999,825.0160000000001,844.113
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,14960.811,16060.848,18343.072,19976.743,21157.112,22443.837000000003,23202.342,24770.668,25006.834,28243.351000000002,31729.161,29045.144
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,211231.064,222404.627,228393.498,227065.562,232420.547,234651.222,236559.739,242307.847,233377.273,247432.712,264100.353,272160.427
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,1263.52,1402.597,1497.163,1659.91,1759.633,1797.285,1929.084,2228.645,2441.917,2493.146,2666.75,2576.221
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,532.946,618.7159999999999,642.56,716.3589999999999,789.268,841.524,907.482,1039.48,1114.142,1044.366,1109.016,1095.873
