Descriptores,2008|Total de la economía,2008|Total de actividades culturales,2008|Bienes y servicios característicos y conexos,2008|Actividades no de mercado,2009|Total de la economía,2009|Total de actividades culturales,2009|Bienes y servicios característicos y conexos,2009|Actividades no de mercado,2010|Total de la economía,2010|Total de actividades culturales,2010|Bienes y servicios característicos y conexos,2010|Actividades no de mercado,2011|Total de la economía,2011|Total de actividades culturales,2011|Bienes y servicios característicos y conexos,2011|Actividades no de mercado,2012|Total de la economía,2012|Total de actividades culturales,2012|Bienes y servicios característicos y conexos,2012|Actividades no de mercado,2013|Total de la economía,2013|Total de actividades culturales,2013|Bienes y servicios característicos y conexos,2013|Actividades no de mercado,2014|Total de la economía,2014|Total de actividades culturales,2014|Bienes y servicios característicos y conexos,2014|Actividades no de mercado,2015|Total de la economía,2015|Total de actividades culturales,2015|Bienes y servicios característicos y conexos,2015|Actividades no de mercado,2016|Total de la economía,2016|Total de actividades culturales,2016|Bienes y servicios característicos y conexos,2016|Actividades no de mercado,2017|Total de la economía,2017|Total de actividades culturales,2017|Bienes y servicios característicos y conexos,2017|Actividades no de mercado,2018|Total de la economía<P>,2018|Total de actividades culturales<P>,2018|Bienes y servicios característicos y conexos<P>,2018|Actividades no de mercado<P>,2019|Total de la economía<P>,2019|Total de actividades culturales<P>,2019|Bienes y servicios característicos y conexos<P>,2019|Actividades no de mercado<P>
"Millones de pesos a precios de 2013|Total nacional|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",66323.682,26087.612,26087.612,NA,63905.899,24614.579,24614.579,NA,67082.853,25371.31,25371.31,NA,66500.531,26286.329,26286.329,NA,68593.101,27502.573,27502.573,NA,73364.614,28285,28285,NA,70361.139,28472.584,28472.584,NA,72408.049,29757.652,29757.652,NA,75056.072,31633.002,31633.002,NA,76273.945,32772.912,32772.912,NA,78023.563,33454.438,33454.438,NA,77396.36,33336.564,33336.564,NA
Millones de pesos a precios de 2013|Total nacional|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas,349724.844,1.229,1.229,NA,314846.535,1.065,1.065,NA,319526.712,1.023,1.023,NA,325321.843,1.056,1.056,NA,341158.207,1.126,1.126,NA,344770.832,1.139,1.139,NA,351884.866,1.143,1.143,NA,375439.183,1.194,1.194,NA,385030.661,1.223,1.223,NA,397041.685,1.262,1.262,NA,405695.18,1.271,1.271,NA,410269.587,1.305,1.305,NA
Millones de pesos a precios de 2013|Total nacional|81---Otros servicios excepto actividades gubernamentales,317744.889,719.375,719.375,NA,316050.357,718.617,718.617,NA,318485.571,717.155,717.155,NA,324113.01,666.923,666.923,NA,333942.646,657.901,657.901,NA,340085.089,613.945,613.945,NA,342663.725,633.479,633.479,NA,354274.223,603.278,603.278,NA,361639.93,601.897,601.897,NA,360165.164,613.506,613.506,NA,362894.748,885.016,885.016,NA,365692.363,898.125,898.125,NA
"Millones de pesos a precios de 2013|Total nacional|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",605743.138,34384.134,NA,34384.134,627092.064,34490.026,NA,34490.026,646505.868,34680.561,NA,34680.561,654530.984,35518.563,NA,35518.563,681262.736,36081.618,NA,36081.618,671667.787,35220.456999999995,NA,35220.456999999995,685150.662,32693.669,NA,32693.669,700004.977,33607.031,NA,33607.031,700921.08,33515.001,NA,33515.001,702449.482,32996.676,NA,32996.676,725836.164,33574.778,NA,33574.778,711224.608,33389.773,NA,33389.773
Millones de pesos a precios de 2013|Total nacional|Otros bienes y servicios,781679.773,84822.479,NA,84822.479,768214.084,78149.622,NA,78149.622,793506.48,82158.188,NA,82158.188,791511.7,86001.245,NA,86001.245,834236.106,87865.111,NA,87865.111,845401.142,88610.368,NA,88610.368,892405.789,88429.484,NA,88429.484,912458.126,91113.167,NA,91113.167,930587.661,94406.909,NA,94406.909,949810.236,97174.502,NA,97174.502,989528.024,101478.79,NA,101478.79,988214.839,100517.686,NA,100517.686
Estructura porcentual|Total nacional,100,3.384,2.556,0.828,100,3.515,2.689,0.825,100,3.436,2.622,0.814,100,3.431,2.614,0.817,100,3.505,2.702,0.803,100,3.507,2.715,0.792,100,3.472,2.718,0.754,100,3.732,2.98,0.752,100,3.977,3.224,0.753,100,4.123,3.372,0.751,100,4.215,3.453,0.763,100,4.283,3.526,0.757
Estructura porcentual|Total nacional|21---Minería,8.273,0.001,0.001,NA,8.289,0.001,0.001,NA,7.966,0.004,0.004,NA,7.716,0.004,0.004,NA,7.522,0.003,0.003,NA,7.375,0.003,0.003,NA,7.044,0.003,0.003,NA,6.524,0.001,0.001,NA,6.093,0.002,0.002,NA,5.476,0.002,0.002,NA,5.068,0.002,0.002,NA,4.848,0.002,0.002,NA
Estructura porcentual|Total nacional|23---Construcción,8.535,0.033,0.033,NA,8.46,0.037,0.037,NA,8.046,0.037,0.037,NA,8.073,0.038,0.038,NA,7.971,0.039,0.039,NA,7.74,0.038,0.038,NA,7.734,0.041,0.041,NA,7.649,0.041,0.041,NA,7.59,0.044,0.044,NA,7.411,0.048,0.048,NA,7.288,0.05,0.05,NA,6.916,0.047,0.047,NA
Estructura porcentual|Total nacional|31-33---Industrias manufactureras,16.991,2.857,2.857,NA,16.113,2.952,2.952,NA,16.658,2.836,2.836,NA,16.58,2.826,2.826,NA,16.613,2.74,2.74,NA,16.474,2.721,2.721,NA,16.683,2.631,2.631,NA,16.642,2.706,2.706,NA,16.499,2.687,2.687,NA,16.619,2.674,2.674,NA,16.57,2.64,2.64,NA,16.678,2.626,2.626,NA
Estructura porcentual|Total nacional|43-46---Comercio,16.946,2.427,2.427,NA,15.715,2.548,2.548,NA,16.697,2.394,2.394,NA,17.469,2.274,2.274,NA,17.466,2.057,2.057,NA,17.53,1.884,1.884,NA,17.675,1.765,1.765,NA,17.869,1.785,1.785,NA,17.931,1.745,1.745,NA,18.194,1.71,1.71,NA,18.361,1.748,1.748,NA,18.273,1.752,1.752,NA
"Estructura porcentual|Total nacional|48-49---Transportes, correos y almacenamiento",6.321,NA,NA,NA,6.186,NA,NA,NA,6.36,NA,NA,NA,6.375,NA,NA,NA,6.392,NA,NA,NA,6.466,NA,NA,NA,6.522,NA,NA,NA,6.577,NA,NA,NA,6.611,NA,NA,NA,6.719,NA,NA,NA,6.787,NA,NA,NA,6.794,NA,NA,NA
Estructura porcentual|Total nacional|51---Información en medios masivos,1.736,65.858,65.858,NA,1.949,66.483,66.483,NA,1.854,67.512,67.512,NA,1.862,67.499,67.499,NA,2.016,69.341,69.341,NA,2.076,69.705,69.705,NA,2.13,69.497,69.497,NA,2.482,69.361,69.361,NA,2.834,69.644,69.644,NA,3.046,69.584,69.584,NA,3.141,69.854,69.854,NA,3.256,69.875,69.875,NA
Estructura porcentual|Total nacional|52---Servicios financieros y de seguros,2.211,NA,NA,NA,2.545,NA,NA,NA,2.875,NA,NA,NA,2.885,NA,NA,NA,3.17,NA,NA,NA,3.626,NA,NA,NA,3.834,NA,NA,NA,4.266,NA,NA,NA,4.675,NA,NA,NA,4.849,NA,NA,NA,4.982,NA,NA,NA,5.091,NA,NA,NA
Estructura porcentual|Total nacional|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,11.595,0.251,0.251,NA,12.35,0.239,0.239,NA,12.119,0.242,0.242,NA,12.038,0.245,0.245,NA,11.903,0.253,0.253,NA,11.849,0.263,0.263,NA,11.791,0.27,0.27,NA,11.703,0.278,0.278,NA,11.65,0.286,0.286,NA,11.566,0.271,0.271,NA,11.516,0.262,0.262,NA,11.668,0.259,0.259,NA
"Estructura porcentual|Total nacional|54---Servicios profesionales, científicos y técnicos",2.18,11.455,11.455,NA,2.194,11.305,11.305,NA,2.074,11.312,11.312,NA,2.096,10.942,10.942,NA,2.045,11.067,11.067,NA,1.992,11.209,11.209,NA,1.964,11.387,11.387,NA,2.001,11.22,11.22,NA,2.024,10.953,10.953,NA,1.975,11.352,11.352,NA,1.97,11.437,11.437,NA,1.97,11.091,11.091,NA
"Estructura porcentual|Total nacional|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",3.669,0.038,0.038,NA,3.627,0.041,0.041,NA,3.486,0.042,0.042,NA,3.566,0.041,0.041,NA,3.582,0.04,0.04,NA,3.689,0.04,0.04,NA,3.568,0.04,0.04,NA,3.492,0.039,0.039,NA,3.466,0.039,0.039,NA,3.669,0.036,0.036,NA,3.755,0.036,0.036,NA,3.932,0.035,0.035,NA
Estructura porcentual|Total nacional|61---Servicios educativos,4.434,1.051,1.051,NA,4.696,1.053,1.053,NA,4.468,1.064,1.064,NA,4.381,1.059,1.059,NA,4.282,1.072,1.072,NA,4.245,1.084,1.084,NA,4.155,1.108,1.108,NA,4.022,1.108,1.108,NA,3.966,1.118,1.118,NA,3.932,1.121,1.121,NA,3.869,1.166,1.166,NA,3.891,1.178,1.178,NA
Estructura porcentual|Total nacional|62---Servicios de salud y de asistencia social,2.381,NA,NA,NA,2.562,NA,NA,NA,2.451,NA,NA,NA,2.426,NA,NA,NA,2.398,NA,NA,NA,2.392,NA,NA,NA,2.321,NA,NA,NA,2.209,NA,NA,NA,2.216,NA,NA,NA,2.202,NA,NA,NA,2.22,NA,NA,NA,2.253,NA,NA,NA
"Estructura porcentual|Total nacional|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.46,39.334,39.334,NA,0.468,38.517,38.517,NA,0.467,37.821,37.821,NA,0.447,39.528,39.528,NA,0.445,40.095,40.095,NA,0.469,38.554,38.554,NA,0.438,40.466,40.466,NA,0.437,41.097,41.097,NA,0.442,42.146,42.146,NA,0.44,42.967,42.967,NA,0.441,42.877,42.877,NA,0.437,43.073,43.073,NA
Estructura porcentual|Total nacional|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.428,NS,NS,NA,2.307,NS,NS,NA,2.226,NS,NS,NA,2.187,NS,NS,NA,2.211,NS,NS,NA,2.204,NS,NS,NA,2.19,NS,NS,NA,2.264,NS,NS,NA,2.267,NS,NS,NA,2.291,NS,NS,NA,2.292,NS,NS,NA,2.319,NS,NS,NA
Estructura porcentual|Total nacional|81---Otros servicios excepto actividades gubernamentales,2.206,0.226,0.226,NA,2.316,0.227,0.227,NA,2.219,0.225,0.225,NA,2.179,0.206,0.206,NA,2.164,0.197,0.197,NA,2.174,0.181,0.181,NA,2.133,0.185,0.185,NA,2.137,0.17,0.17,NA,2.129,0.166,0.166,NA,2.078,0.17,0.17,NA,2.05,0.244,0.244,NA,2.067,0.246,0.246,NA
"Estructura porcentual|Total nacional|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",4.206,5.676,NA,5.676,4.595,5.5,NA,5.5,4.505,5.364,NA,5.364,4.4,5.427,NA,5.427,4.415,5.296,NA,5.296,4.294,5.244,NA,5.244,4.264,4.772,NA,4.772,4.222,4.801,NA,4.801,4.127,4.782,NA,4.782,4.053,4.697,NA,4.697,4.1,4.626,NA,4.626,4.02,4.695,NA,4.695
Estructura porcentual|Total nacional|Otros bienes y servicios,5.427,10.851,NA,10.851,5.629,10.173,NA,10.173,5.529,10.354,NA,10.354,5.321,10.865,NA,10.865,5.406,10.532,NA,10.532,5.404,10.481,NA,10.481,5.554,9.909,NA,9.909,5.504,9.985,NA,9.985,5.48,10.145,NA,10.145,5.481,10.231,NA,10.231,5.59,10.255,NA,10.255,5.586,10.172,NA,10.172
