Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",66870.322,70603.67,74346.361,78941.36,83640.266,72858.507,93288.496,99750.895,106972.682,106431.308,112994.028,116261.968
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,26130.552,25220.542,27244.749,28803.951,28955.165,30408.691,32119.691,32316.462,33524.391,35011.717,36854.251,34488.104
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,154383.042,165760.393,171907.733,177364.769,168062.981,171988.191,178636.295,181652.261,182093.939,189125.416,188405.516,195870.649
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,82413.132,88411.197,91305.566,96340.29,97922.964,99450.525,102859.375,109272.679,106508.378,114878.461,116318.513,115466.027
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,94562.969,100404.855,108606.907,111326.209,115480.969,122034.861,127676.56,131578.154,124876.316,134226.74,129997.58,126372.509
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",71487.698,77203.074,75455.741,82282.096,81977.304,78732.663,80675.85,88769.439,88536.53,95924.793,101957.447,103659.898
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,156473.218,167892.648,174181.199,179636.973,169960.327,173873.075,180671.88,183600.951,184269.239,191287.752,190565.382,198320.452
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",45922.931,48338.403,49422.326,50525.839,51459.318,53535.115,55052.99,55707.138,55008.947,58113.747,61236.257,63201.142
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",48521.8,50787.472,53524.046,53949.206,57772.519,70611.868,74829.527,76112.261,79671.505,83988.954,89050.36,93823.158
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,62337.965,63851.321,66332.725,68470.425,71299.128,73994.176,77535.142,79858.865,83903.606,88529.64,94212.415,100959.254
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",51051.244,53604.427,56374.455,58919.751,61863.155,64391.743,65472.657,67761.81,73297.8,77209.903,80105.821,84449.528
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),340635.826,359423.859,382020.137,397701.423,367424.944,375002.25,380998.166,382330.237,379646.893,397666.747,392398.741,408978.379
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",89012.632,92137.649,110550.832,105290.232,108497.614,111885.104,118436.92,125729.233,130583.178,139082.602,145764.776,149780.825
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,26335.616,27275.862,28465.753,30393.103,32847.222,34517.241,36409.722,38631.206,39524.823,41112.676,41584.507,43382.979
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,44653.787,46577.049,49141.935,51110.585,52930.709,55396.631,57365.325,58889.065,64101.974,64838.188,67320,70255.743
Pesos en precios corrientes|Total cultura|Gestión pública en actividades culturales,257174.541,271703.12,286948.063,305410.654,311949.466,330374.069,327960.689,351112.284,361087.176,370023.187,397192.191,412597.895
Pesos en precios corrientes|Total cultura|Gestión pública en actividades culturales|Administración federal,282503.685,298441.271,312275.66,334878.055,326106.325,351042.937,335024.759,368886.033,369881.204,372067.744,405115.965,419916.751
Pesos en precios corrientes|Total cultura|Gestión pública en actividades culturales|Administración estatal,228463.152,241772.177,258288.409,272662.204,294728.488,306668.44,320348.571,332454.767,351959.252,367875.633,388791.919,405118.47
Pesos en precios corrientes|Total cultura|Asociaciones y organizaciones civiles,65476.3,68490.798,70912.42,74198.576,77819.411,80515.249,84263.001,87571.111,91731.835,96337.633,100653.738,107420.32
Pesos en precios corrientes|Total cultura|Producción cultural de los hogares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Variación anual|Total cultura,NA,6.932,2.13,5.107,1.03,3.985,2.663,3.36,1.593,2.64,3.667,5.17
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,6.872,1.455,4.272,-0.694,4.57,4.323,2.036,2.326,3.621,2.532,6.616
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,4.642,0.049,3.937,3.245,7.15,4.166,3.063,4.175,4.661,4.451,7.631
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,3.768,-5.023,2.863,1.699,11.141,4.714,2.448,4.126,5.769,4.648,9.639
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,4.222,4.326,3.997,4.616,4.179,3.703,4.099,3.961,5.403,4.817,9.342
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,12.851,-19.987,-14.297,-4.944,20.811,6.964,-5.143,6.299,10.419,2.737,16.042
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,12.929,-24.622,-1.194,-7.694,16.749,6.117,-3.419,5.325,9.006,1.069,13.213
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,1.139,-3.643,-24.834,5.415,25.615,11.654,5.113,7.982,9.512,9.172,7.296
