Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,76.743,85.298,85.929,87.768,89.326,100,103.055,102.88,112.253,116.219,119.619,125.129
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",78.519,81.046,89.565,91.415,96.714,100,106.369,108.025,116.641,123.223,129.274,130.87
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,86.257,93.195,95.554,97.386,100.786,100,102.071,108.624,115.791,120.664,124.509,128.661
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",75.05,79.4,81.809,85.597,88.936,100,98.898,101.068,101.577,106.909,110.949,114.277
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",86.409,89.703,93.375,95.776,97.769,100,102.663,104.63,106.898,109.77,112.582,115.19
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,80.13,86.58,91.664,94.737,98.018,100,102.439,107.963,115.995,123.683,127.792,130.781
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",82.121,86.364,89.7,92.956,96.855,100,103.272,108.65,112.22,117.026,122.152,127.007
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),87.409,94.384,96.427,98.05,101.374,100,102.02,108.9,116.206,120.607,124.382,128.766
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",81.022,85.826,89.179,91.622,98.06,100,103.42,105.82,107.829,111.999,116.032,119.82
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,85.014,88.82,91.999,94.828,98.194,100,103.501,106.678,109.356,113.766,118.249,122.784
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,85.298,90.026,93.72,95.283,97.38,100,102.115,104.696,107.871,111.709,117.641,123.004
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales,77.937,97.895,89.073,89.252,112.082,100,105.773,107.657,110.575,115.04,119.945,123.971
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales|Administración federal,78.349,102.835,91.466,92.575,117.15,100,105.751,107.598,110.42,114.477,119.456,123.252
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales|Administración estatal,76.468,80.752,80.518,77.54,94.253,100,105.83,107.807,111.017,116.74,121.64,126.049
Índice de precios implícitos|Total cultura|Asociaciones y organizaciones civiles,85.539,89.386,93.242,96.148,98.801,100,103.49,107.874,111.555,117.36,122.072,126.176
Índice de precios implícitos|Total cultura|Producción cultural de los hogares,79.125,84.267,85.149,91.675,95.954,100,102.093,107.412,114.15,122.298,126.621,130.377
Variación anual|Total cultura,NA,8.315,1.176,3.251,5.798,0.543,2.926,4.822,5.179,4.539,3.862,3.996
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,7.232,1.983,3.347,4.396,1.38,2.765,5.022,5.335,4.439,3.86,4.06
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,6.683,1.693,4.151,4.831,2.528,3.137,4.347,4.673,4.572,4.195,4.419
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,9.004,-0.897,5.974,6.15,2.719,3.451,5.346,6.187,5.055,4.265,4.5
