"conjunto_de_datos_cscm_csc_ptobcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Participación del sector en la economía|Participación en el total de la oferta de bienes y servicios"
"conjunto_de_datos_cscm_csc_ofyubcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Oferta y utilización de bienes y servicios de la cultura por actividad económica|Oferta y utilización de bienes y servicios culturales"
"conjunto_de_datos_cscm_csc_cptcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Cuenta de producción total|Cuenta de producción total"
"conjunto_de_datos_cscm_csc_vbpbcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Principales variables económicas|Valor bruto de la producción, precios básicos"
"conjunto_de_datos_cscm_csc_cibcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Principales variables económicas|Consumo intermedio, precios comprador"
"conjunto_de_datos_cscm_csc_vabbcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Principales variables económicas|Valor agregado bruto, precios básicos"
"conjunto_de_datos_cscm_csc_vbpbipi_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Índices de precios implícitos|Valor bruto de la producción, índice de precios implícitos"
"conjunto_de_datos_cscm_csc_cibipi_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Índices de precios implícitos|Consumo intermedio, índice de precios implícitos"
"conjunto_de_datos_cscm_csc_vabbipi_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Índices de precios implícitos|Valor agregado bruto, índice de precios implícitos"
"conjunto_de_datos_cscm_csc_gubbcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Gasto y financiamiento en cultura|Gasto en cultura por usuarios y beneficiarios"
"conjunto_de_datos_cscm_csc_gfibcs_s2019 preliminar.csv","Valores constantes|Bienes y servicios|Gasto y financiamiento en cultura|Gasto en cultura por financiamiento"
"conjunto_de_datos_cscm_csc_pvabacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Participación del sector en la economía|Participación en el valor agregado bruto, precios básicos por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_ptoacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Participación del sector en la economía|Participación en el total de la oferta de bienes y servicios por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_ofyuacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Oferta y utilización de bienes y servicios de la cultura por actividad económica|Oferta y utilización de bienes y servicios culturales por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_vbpacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Principales variables económicas|Valor bruto de la producción, precios básicos por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_ciacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Principales variables económicas|Consumo intermedio, precios comprador por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_vabacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Principales variables económicas|Valor agregado bruto, precios básicos por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_vbpaipi_s2019 preliminar.csv","Valores constantes|Áreas generales|Índices de precios implícitos|Valor bruto de la producción, índice de precios implícitos por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_ciaipi_s2019 preliminar.csv","Valores constantes|Áreas generales|Índices de precios implícitos|Consumo intermedio, índice de precios implícitos por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_vabaipi_s2019 preliminar.csv","Valores constantes|Áreas generales|Índices de precios implícitos|Valor agregado bruto, índice de precios implícitos por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_gubacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Gasto y financiamiento en cultura|Gasto en cultura por usuarios y beneficiarios por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_gfiacs_s2019 preliminar.csv","Valores constantes|Áreas generales|Gasto y financiamiento en cultura|Gasto en cultura por financiamiento por áreas generales y específicas"
"conjunto_de_datos_cscm_csc_icnm_s2019 preliminar.csv","No monetarios|Infraestructura cultural"
"conjunto_de_datos_cscm_csc_enccum_s2019 preliminar.csv","No monetarios|Asistencia a eventos culturales seleccionados y uso de internet"
"conjunto_de_datos_cscm_csc_toa_s2019 preliminar.csv","No monetarios|Total de personas ocupadas según sexo"
