Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",2033.229,2027.142,1870.331,1812.895,1969.051,1897.324,2097.639,2224.714,2139.342,1708.777,1070.002,897.24
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",1633.489,1540.582,1457.936,1520.402,1677.54,1597.491,1502.685,1653.785,1634.054,1607.184,1631.707,1589.73
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,59982.202,62865.209,67861.28,70529.342,70405.256,69906.687,68160.146,71467.807,67608.914,72525.257,76863.427,67667.047
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,246842.268,261746.077,260814.933,271409.664,313050.483,326736.783,335414.172,377262.628,431606.81,464951.947,492700.452,515938.785
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,6567.957,6509.521,6833.454,7173.754,7689.53,7033.897,7650.699,8063.773,10071.328,8023.58,9494.976,9554.952
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,3050.828,3182.206,3300.79,3404.476,3895.835,3452.229,3765.463,3639.861,3850.302,3464.652,3480.937,3364.487
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",3517.129,3327.315,3532.664,3769.278,3793.695,3581.668,3885.236,4423.912,6221.026,4558.928,6014.039,6190.465
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,240274.311,255236.556,253981.479,264235.91,305360.953,319702.886,327763.473,369198.855,421535.482,456928.367,483205.476,506383.833
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",1761.644,1626.022,1726.916,1800.636,1740.835,1843.607,1928.243,2044.287,2041.045,2160.082,2145.827,2196.646
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",492.31,468.066,426.344,437.751,477.236,483.727,490.882,501.824,536.327,573.092,572.54,562.352
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",3262.438,3190.043,3103.979,3188.33,3159.457,3223.607,3329.032,3201.199,3542.934,3686.698,3963.54,3698.441
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),226016.459,241620.937,240319.449,250037.074,291028.354,304910.497,312379.641,352898.313,404613.456,439924.093,465734.651,488698.042
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",8597.149,8193.602,8265.564,8629.178,8811.327,9093.733,9490.006,10414.338,10666.131,10452.916,10656.252,11093.791
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,38.424,37.844,38.289,40.2,39.238,40.748,40.143,39.793,40.331,40.473,39.477,37.72
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,105.887,100.042,100.938,102.741,104.506,106.967,105.526,99.101,95.258,91.013,93.189,96.841
Millones de pesos a precios de 2013|Total cultura|Gestión pública en actividades culturales,54534.944,53960.307,55333.341,58652.723,59005.378,55663.152,54319.299,57459.035,59163.507,57511.478,60348.704,55914.245
Millones de pesos a precios de 2013|Total cultura|Gestión pública en actividades culturales|Administración federal,35528.317,34878.094,36199.722,38565.685,38721.438,35908.024,33192.697,35442.407,36896.934,35677.043,38233.481,33889.343
Millones de pesos a precios de 2013|Total cultura|Gestión pública en actividades culturales|Administración estatal,19006.627,19082.213,19133.619,20087.038,20283.94,19755.128,21126.602,22016.628,22266.573,21834.435,22115.223,22024.902
Millones de pesos a precios de 2013|Total cultura|Asociaciones y organizaciones civiles,369.203,375.852,360.354,359.625,385.106,370.351,374.064,359.641,339.666,336.718,528.875,526.667
Millones de pesos a precios de 2013|Total cultura|Producción cultural de los hogares,95916.44,88535.249,93117.162,97809.524,100025.066,100466.317,100582.37,103438.557,108719.403,111881.192,117669.322,116753.115
Variación anual|Total del país,NA,-7.84,7.115,3.554,3.9,0.976,3.447,3.412,2.07,2.8,2.455,-0.125
Variación anual|Total cultura,NA,-2.571,2.533,3.891,4.538,-0.178,0.79,7.235,6.152,4.403,4.531,0.477
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,-2.041,2.225,3.602,5.105,0.136,1.083,7.854,6.475,5.008,4.421,1.058
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,-5.86,3.599,3.367,-0.173,-2.388,0.081,4.833,0.916,2.848,3.133,-2.071
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,-8.459,3.973,3.787,-2.644,-5.455,-1.083,5.346,-0.127,2.365,3.958,-0.038
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,-5.114,6.522,0.251,4.447,-0.363,-0.374,5.821,2.459,2.813,3.041,-0.66
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,-18.823,-2.236,11.833,-9.39,-17.088,-15.379,-0.416,8.337,-5.62,116.05,-4.824
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,-12.565,6.954,14.063,-18.668,-18.44,-3.864,6.403,-6.564,1.375,-5.216,6.792
